コード,銘柄
2533,オエノンＨＤ
253A,ＥＴＳＧ
2540,養命酒
254A,ＡＩフュージョ
2552,上ＪリートＭ
2553,ＣＳＩ５００
2554,ＮＦ米債ヘ
2555,東証ＲＥＩＴ
2556,ＯｎｅＪリート
2557,ＳＭＤＡＭトピ
2558,ＭＸＳ米株
2559,ＭＸＳ世界
255A,ジーエルテクノ
2560,ＭＸＳカーボン
2561,ｉＳ日国債
2562,上場ダウＨ
2563,ｉＳ５００米Ｈ
2564,ＧＸＳディビ
2565,ＧＸロジＪリ
2566,上場ＥＳＧリ
2567,ＮＺＡＭカーボ
2568,上場ＮＳＱ
2569,上場ＮＳＱヘ
256A,飛島ＨＤ
2573,北海コカ
2579,コカコーラＢＪＨ
257A,ＳＭＴ日厳
2585,ライフドリンク
2586,フルッタフルッタ
2587,サントリーＢＦ
2588,Ｐウォーター
258A,ＳＭＴ内リート
2590,ＤｙＤｏ
2593,伊藤園
25935,#N/A
2594,キーコーヒー
2597,ユニカフェ
2602,日清オイリオ
2607,不二製油
2612,かどや
2613,Ｊオイル
261A,日水コン
2620,ｉＳ米債１３
2621,米債２０Ｈ
2622,新興債Ｈ
2623,ユロ社債Ｈ
2624,ｉＦ２２５年４
2625,ｉＦＴＰＸ年４
2626,ＧＸデジタル
2627,ＧＸｅコマース
2628,ｉＦＳＴＡＲ５０
2629,ｉＦＧＢＡ１００
262A,インターメスティ
2630,ＭＸＳ米株ヘ
2631,ＭＸＳナス１００
2632,ＭＸＳナ１００ヘ
2633,ＮＦＳ＆Ｐ５００
2634,ＮＦＳＰ５００ヘ
2636,ＧＸガバ日
2637,ＧＸクリーン日
2638,ＧＸロボ＆ＡＩ
2639,ＧＸバイオメト
263A,デジタルキュ
2640,ＧＸゲームアニ
2641,ＧＸＧリーダー
2642,ＳＭＴテイタンソ
2643,ＭＳＣＩ日セレ
2644,ＧＸ半導体
2645,ＧＸレジ＆エン
2646,ＧＸメタルビ
2647,ＮＦ米債７
2648,ＮＦ米債７Ｈ
2649,ＧＮＭＡ債Ｈ
264A,Ｓｃｈｏｏ
2652,マンダラケ
2653,イオン九州
2654,アスモ
2656,ベクターＨＤ
2659,サンエー
265A,エイチエムコム
2664,カワチ薬品
2666,オートウェーブ
2667,イメージワン
2668,タビオ
2669,カネ美食品
266A,グローカルマケ
2670,ＡＢＣ マート
2673,夢 隊
2674,ハードオフ
2676,高千穂交
2678,アスクル
267A,トワライズ
2681,ゲオＨＤ
2683,魚 喜
2685,アンドエスティ
2686,ジーフット
2687,シーヴイエス
2689,オルバヘルケア
268A,リガク
2692,伊藤忠食
2693,ＹＫＴ
2694,焼肉坂井
2695,くら寿司
2698,キャンドゥ
269A,Ｓａｐｅｅｔ
2700,木徳神糧
2702,マクドナルド
2705,大戸屋ＨＤ
2708,久 世
271A,アクセリア
2721,ＪＨＤ
2722,ＩＫＨＤ
2726,パルＧＨＤ
2730,エディオン
2733,あらた
2734,サーラ
2735,ワッツ
2736,フェスタリアＨＤ
2737,トーメンデバ
273A,ＳＢＩサウジ
2742,ハローズ
2747,北雄ラッキー
2749,ＪＰＨＤ
274A,ガーデン
2750,石光商事
2751,テンポスＨＤ
2752,フジオフドＧ
2753,あみやき
2760,東エレデバ
2762,ＳＡＮＫＯ ＭＦ
2763,エフティＧ
2764,ひらまつ
2767,円谷フィール
2768,双 日
2769,ヴィレッジＶ
276A,ククレブ
2776,新都ＨＤ
2778,パレモ・ＨＤ
277A,グロービンク
2780,コメ兵ＨＤ
2782,セリア
2784,アルフレッサＨＤ
2788,アップル
2789,カルラ
278A,テラドローン
2790,ナフコ
2791,大黒天
2792,ハニーズＨＬＤ
2795,プリメックス
2796,ファーマライズ
2798,Ｙ’Ｓ
279A,インターグ
2801,キッコーマン
2802,味の素
2804,ブルドック
2805,エスビー
2806,ユタカフーズ
2809,キユーピー
280A,ＴＭＨ
2810,ハウス食Ｇ
2811,カゴメ
2813,和弘食
2814,佐藤食
2815,アリアケ
2816,ダイショー
2818,ピエトロ
2819,エバラ食品
281A,インフォメティス
2820,やまみ
282A,ＧＸ半導１０
2831,はごろも
2836,ＧＸフィンテック
2837,ＧＸ中小リ
2838,ＭＸ米債７
2839,ＭＸ米債７ヘ
283A,ＧＸＵＳテク配
2840,ｉＦナス１００
2841,ｉＦナス１００Ｈ
2842,ｉＦナ１００ベ
2843,上豪債ＨＥ
2844,上場豪債
2845,ＮＦナスヘッジ
2846,ＮＦダウＨＥ
2847,ＧＸ成長イン
2848,ＧＸ気候変
2849,ＧＸ高ＥＳＧ
284A,フクヤ建設
2851,ｉＳＭＳＪＳＲＩ
2852,ｉＳグリンＪリ
2853,気候債Ｈ
2854,ＧＸテック２０
2855,ＧＸグリＪリ
2856,米債３７Ｈ
2857,ドイツ債Ｈ
2858,ＧＸ日経カ
2859,ＳＴＯＸＸヘジ
285A,キオクシアＨＤ
2860,ＤＡＸヘッジ
2861,上フランス債
2862,上フラ債Ｈ
2864,ＧＸロジリート
2865,ＧＸＮＤＸカバ
2866,ＧＸ優先証
2867,ＧＸ自動ＥＶ
2868,ＧＸＳＰＸカバ
2869,ｉＦナ１００ダ
286A,ユカリア
2870,ｉＦナ１００Ｄイ
2871,ニチレイ
2872,セイヒョー
2874,ヨコレイ
2875,東洋水産
2876,デルソーレ
2877,日東ベスト
287A,黒田Ｇ
2882,イートアンドＨ
2883,大 冷
2884,ヨシムラフード
288A,ラクサス
2892,日食品
2894,石井食
2897,日清食ＨＤ
2901,ウェルディッシ
2903,シノブフース
2904,一正蒲
2907,あじかん
2908,フジッコ
290A,Ｓｙｎｓ
2910,ロックフィール
2911,旭松食
2914,Ｊ Ｔ
2915,ケンコーマヨ
2916,仙波糖化
2917,大森屋
2918,わらべや
291A,リスキル
2922,なとり
2923,サトウ食品
2924,イフジ産業
2926,篠崎屋
2927,ＡＦＣ－ＨＤ
2929,ファーマフーズ
292A,エスアイイー
2930,北の達人
2931,ユーグレナ
2932,ＳＴＩフードＨ
2933,紀文食品
2934,Ｊフロンティア
2935,ピックルスＨＤ
2936,ベースフード
2937,サンクゼール
2938,オカムラ食品
293A,ＢＡＢＹ ＪＯＢ
294A,ＮＦ日気候
295A,Ｏｎｅサウジ
2961,日本調理
2962,テクニスコ
296A,令和ＡＨ
2970,ＧＬＣ Ｇ
2971,エスコンＪＰＮ
2972,サンケイＲＥ
2975,スターマイカＨＤ
2978,ツクルバ
2979,ＳＯＳｉＬＡ
297A,アルピコＨＤ
2980,ＳＲＥＨＤ
2981,ランディックス
2982,ＡＤワークスＧ
2983,アールプランナ
2984,ヤマイチ
2985,ファストステジ
2986,ＬＡＨＤ
2989,東海道ＲＥ
298A,ＧＶＡＴＥＣＨ
2990,アイダ設計
2991,ランドネット
2992,アーバンライク
2993,長 栄
2994,アンサーＨＤ
2995,ジェイレックス
2997,ストレージ王
2998,クリアル
2999,ホームポジ
299A,クラシル
3001,片 倉
3002,グンゼ
3003,ヒューリック
3004,神 栄
300A,ＭＩＣ
3010,ポラリスＨＤ
3011,バナーズ
301A,インデックス
3020,アプライド
3021,ＰＣＮＥＴ
3023,ラサ商事
3024,クリエイト
3028,アルペン
302A,ビースタイル
3030,ハ ブ
3031,ラクーンＨＤ
3034,クオールＨＤ
3035,ＫＴＫ
3036,アルコニックス
3038,神戸物産
303A,ｖｉｓｕｍｏ
3040,ソリトン
3041,ビカダンＨＤ
3042,セキュアヴェイ
3045,カワサキ
3046,ＪＩＮＳＨＤ
3048,ビックカメラ
304A,フォルシア
3050,ＤＣＭ
3053,ペッパー
3054,ハイパー
3058,三洋堂ＨＤ
3059,ヒラキ
305A,ダブルツリー
3063,ｊＧｒｏｕｐ
3064,ＭｏｎｏｔａＲＯ
3065,ライフフーズ
3067,東京一番
3068,ＷＤＩ
3069,ＪＦＬＡＨＤ
3070,ジェリービー
3071,ストリーム
3075,銚子丸
3076,あいＨＤ
3077,ホリイフード
3079,ＤＶｘ
307A,ハウジングＳ
3080,ジェーソン
3082,きちりＨＤ
3083,スターシーズ
3086,Ｊフロント
3087,ドトル日レス
3088,マツキヨココカラ
3089,テクノアルファ
308A,ぽすとＨＤ
3091,ブロンコＢ
3092,ＺＯＺＯ
3093,トレファク
3096,オーシャン
3097,物語コーポ
3099,ミツコシイセタン
309A,コスモス調剤
3101,東洋紡
3103,ユニチカ
3104,富士紡ＨＤ
3105,日清紡ＨＤ
3106,クラボウ
3107,ダイワボＨＤ
3109,シキボウ
310A,サーティーフォー
3110,日東紡
3111,オーミケンシ
3113,ＵＮＩＶＡＯａｋ
3116,トヨタ紡織
311A,ＮＰＴ
3121,マーチャント
3123,サイボー
312A,シンコーＨＤ
3131,シンデンハイテ
3132,マクニカＨＤ
3133,海 帆
3134,Ｈａｍｅｅ
3135,マーケットエンタ
3137,ファンデリー
3138,富士マガ
3139,ラクトＪＰＮ
313A,ｉＳＳＰ５００Ｔ
3140,ＢＲＵＮＯ
3143,オーウイル
3148,クリエイトＳＤＨ
314A,ｉＳゴールド
3150,グリムス
3151,バイタルＫＳＫ
3153,八洲電機
3154,メディアスＨＤ
3156,レスター
3157,ジオリーブＧ
3159,丸善ＣＨＩ
315A,ＧＸ銀高配
3160,大 光
3161,アゼアス
3166,ＯＣＨＩ・ＨＤ
3167,ＴＯＫＡＩ ＨＤ
3168,ＭＥＲＦ
3169,ミサワ
316A,ｉＦＦＡＮＧ＋
3172,ティーライフ
3173,Ｃｏｍｉｎｉｘ
3174,ハピネス＆Ｄ
3175,ＡＰＨＤ
3176,三洋貿易
3177,ありがと
3178,チムニー
3179,シュッピン
317A,ＳＭＳＤＴｅｃｈ
3180,Ｂガレージ
3181,買取王国
3182,オイラ大地
3183,ウインパートナ
3184,ＩＣＤＡ
3185,夢展望
3186,ネクステージ
3187,ミラタップ
3189,ＡＮＡＰ
318A,ＶＩＸ先ＥＴＦ
3190,ホットマン
3191,ジョイ本田
3192,白 鳩
3193,エターナルホスヒ
3195,ジェネパ
3196,ホットランドＨ
3197,すかいＨＤ
3198,ＳＦＰ
3199,綿半ＨＤ
319A,技術承継
3201,ニッケ
3202,ダイトウボウ
3204,トーア紡
3205,ダイドリミ
320A,Ｄ＆Ｉ
321A,ヒューマンＳＨＤ
3221,ヨシックスＨＤ
3222,Ｕ．Ｓ．Ｍ．Ｈ
3223,エスエルディー
3224,Ｇオイスター
3226,三井不アコ
322A,ヒメジ理化
3231,野村不ＨＤ
3232,三交ＧＨＤ
3234,森ヒルズ
3236,プロパスト
3237,イントランス
3238,セントラル総
323A,フライヤー
3241,ウィル
3242,アーバネット
3245,ディア・ライフ
3246,コーセーアールイ
3248,アールエイジ
3249,産業ファ
324A,ブッキングＲ
3252,地 主
325A,ＴＥＮＴＩＡＬ
3261,グランディー
3266,ファンドクリＧ
3267,フィルカンパニ
3269,ＡＤＲ
326A,エアロラボ
3271,グロバル社
3276,ＪＰＭＣ
3277,サンセイランデ
3279,ＡＰＩ
3280,エストラスト
3281,ＧＬＰ
3282,コンフォリア
3283,プロロジス
3284,フージャース
3286,トラストＨＤ
3287,星野ＲＲ
3288,オープンハウス
3289,東急不ＨＤ
